,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets,confirmed,deaths,recovered,active,tweets
Aruba,0,0,0,0,105,0,0,0,0,227,0,0,0,0,318,0,0,0,0,396,0,0,0,0,500,2,0,0,2,607,2,0,0,2,696,2,0,0,2,796,2,0,0,2,895,3,0,0,3,1001,4,0,0,4,1071,4,0,0,4,1148,4,0,0,4,1230,4,0,0,4,1309,4,0,0,4,1392,4,0,0,4,1487,4,0,0,4,1567,4,0,0,4,1638,4,0,0,4,1704,4,0,0,4,1773,4,0,0,4,1860,4,0,0,4,1955,4,0,0,4,2026,4,0,0,4,2079,4,0,0,4,2145,4,0,0,4,2232,4,0,0,4,2303,4,0,0,4,2374,4,0,0,4,2441,4,0,0,4,2499,4,0,0,4,2563,4,0,0,4,2637,4,0,0,4,2698,4,0,0,4,2752,4,0,0,4,2817
Afghanistan,4,0,0,4,252,4,0,0,4,458,5,0,0,5,743,7,0,0,7,962,7,0,0,7,1210,7,0,0,7,1449,11,0,0,11,1811,16,0,0,16,2199,21,0,1,20,2621,22,0,1,21,2981,22,0,1,21,3362,22,0,1,21,3638,24,0,1,23,3866,24,0,1,23,4092,40,1,1,38,4600,40,1,1,38,5007,74,1,1,72,5423,84,2,2,80,5849,94,4,2,88,6237,110,4,2,104,6703,110,4,2,104,7166,120,4,2,114,7690,170,4,2,164,8276,174,4,5,165,8758,237,4,5,228,9234,273,6,10,257,9695,281,6,10,265,10073,299,7,10,282,10549,349,7,15,327,11003,367,11,18,338,11556,423,14,18,391,12167,444,14,29,401,12722,484,15,32,437,13236,521,15,32,474,13636,555,18,32,505,14158
Angola,0,0,0,0,191,0,0,0,0,360,0,0,0,0,574,0,0,0,0,817,0,0,0,0,1151,0,0,0,0,1427,0,0,0,0,1707,0,0,0,0,2088,0,0,0,0,2410,0,0,0,0,2762,0,0,0,0,3104,0,0,0,0,3514,1,0,0,1,3861,2,0,0,2,4214,2,0,0,2,4534,3,0,0,3,4872,3,0,0,3,5227,3,0,0,3,5513,4,0,0,4,5845,4,0,0,4,6172,5,0,0,5,6510,7,2,0,5,6880,7,2,0,5,7284,7,2,1,4,7614,8,2,1,5,7888,8,2,1,5,8143,8,2,1,5,8471,10,2,2,6,8813,14,2,2,10,9125,16,2,2,12,9447,17,2,2,13,9748,19,2,2,15,10034,19,2,2,15,10329,19,2,2,15,10614,19,2,4,13,10850
Anguilla,0,0,0,0,15,0,0,0,0,22,0,0,0,0,31,0,0,0,0,40,0,0,0,0,48,0,0,0,0,64,0,0,0,0,73,0,0,0,0,83,0,0,0,0,92,0,0,0,0,102,0,0,0,0,106,0,0,0,0,112,0,0,0,0,118,0,0,0,0,122,0,0,0,0,126,0,0,0,0,133,0,0,0,0,136,0,0,0,0,146,0,0,0,0,157,0,0,0,0,166,0,0,0,0,175,0,0,0,0,181,0,0,0,0,190,0,0,0,0,199,0,0,0,0,207,0,0,0,0,223,0,0,0,0,231,0,0,0,0,247,0,0,0,0,268,0,0,0,0,279,0,0,0,0,296,0,0,0,0,324,0,0,0,0,338,0,0,0,0,354,0,0,0,0,389
Åland Islands,0,0,0,0,24,0,0,0,0,40,0,0,0,0,52,0,0,0,0,66,0,0,0,0,78,0,0,0,0,91,0,0,0,0,109,0,0,0,0,133,0,0,0,0,146,0,0,0,0,159,0,0,0,0,170,0,0,0,0,183,0,0,0,0,196,0,0,0,0,219,0,0,0,0,239,0,0,0,0,252,0,0,0,0,269,0,0,0,0,278,0,0,0,0,310,0,0,0,0,342,0,0,0,0,358,0,0,0,0,393,0,0,0,0,412,0,0,0,0,429,0,0,0,0,457,0,0,0,0,486,0,0,0,0,507,0,0,0,0,521,0,0,0,0,576,0,0,0,0,602,0,0,0,0,634,0,0,0,0,644,0,0,0,0,670,0,0,0,0,708,0,0,0,0,755
Albania,0,0,0,0,185,2,0,0,2,439,10,0,0,10,658,12,1,0,11,869,23,1,0,22,1035,33,1,0,32,1179,38,1,0,37,1325,42,1,0,41,1475,51,1,0,50,1621,55,1,0,54,1745,59,2,0,57,1877,64,2,0,62,2017,70,2,0,68,2157,76,2,2,72,2278,89,2,2,85,2438,104,4,2,98,2564,123,5,10,108,2677,146,5,17,124,2829,174,6,17,151,2932,186,8,31,147,3085,197,10,31,156,3257,212,10,33,169,3436,223,11,44,168,3581,243,15,52,176,3725,259,15,67,177,3871,277,16,76,185,4088,304,17,89,198,5065,333,20,99,214,6085,361,20,104,237,7290,377,21,116,240,8503,383,22,131,230,9698,400,22,154,224,10768,409,23,165,221,12001,416,23,182,211,12986,433,23,197,213,14179
Andorra,1,0,0,1,155,1,0,0,1,307,1,0,0,1,567,1,0,0,1,830,1,0,1,0,1054,1,0,0,1,1292,1,0,1,0,1588,1,0,1,0,1914,2,0,1,1,2223,39,0,1,38,2510,39,0,1,38,2829,53,0,1,52,3103,75,0,1,74,3394,88,0,1,87,3677,113,1,1,111,3906,133,1,1,131,4138,164,1,1,162,4418,188,1,1,186,4683,224,3,1,220,4997,267,3,1,263,5335,308,3,1,304,5651,334,6,1,327,5994,370,8,10,352,6282,376,12,10,354,6568,390,14,10,366,6862,428,15,10,403,7180,439,16,16,407,7508,466,17,21,428,7814,501,18,26,457,8128,525,21,31,473,8411,545,22,39,484,8688,564,23,52,489,9016,583,25,58,500,9317,601,26,71,504,9652,601,26,71,504,9960
United Arab Emirates,45,0,7,38,1967,45,0,7,38,3894,74,0,12,62,5528,74,0,17,57,7392,85,0,17,68,8973,85,0,17,68,10548,85,0,17,68,12239,98,0,23,75,14267,98,0,23,75,16148,98,0,23,75,18130,113,0,26,87,19957,140,0,31,109,22021,140,2,31,107,24127,153,2,38,113,26390,153,2,38,113,28776,198,2,41,155,31281,248,2,45,201,33618,333,2,52,279,35870,333,2,52,279,38117,405,2,52,351,40560,468,2,52,414,43364,570,3,58,509,45760,611,5,61,545,48185,664,6,61,597,50598,814,8,61,745,52845,1024,8,96,920,55109,1264,9,108,1147,57200,1505,10,125,1370,59508,1799,10,144,1645,62013,2076,11,167,1898,64305,2359,12,186,2161,66747,2659,12,239,2408,69185,2990,14,268,2708,71465,3360,16,418,2926,73815,3736,20,588,3128,76335
Argentina,12,1,0,11,41839,12,1,0,11,71125,17,1,0,16,107643,19,1,0,18,155370,19,1,0,18,205999,31,2,0,29,275216,34,2,1,31,341847,45,2,1,42,418654,56,2,1,53,505306,68,2,3,63,574844,79,2,3,74,637534,97,3,3,91,691448,128,3,3,122,743553,158,4,3,151,793264,225,4,3,218,843005,266,4,27,235,881352,387,6,52,329,913623,387,8,52,327,950212,502,9,63,430,985378,589,13,72,504,1022089,690,18,72,600,1060180,745,19,72,654,1098426,820,23,228,569,1132919,1054,27,240,787,1161787,1054,28,248,778,1188695,1133,36,256,841,1215841,1265,39,266,960,1246336,1451,43,279,1129,1275508,1451,44,280,1127,1303067,1554,48,325,1181,1331239,1628,56,338,1234,1359627,1715,63,358,1294,1388285,1795,72,365,1358,1417744,1975,82,375,1518,1448783,1975,83,440,1452,1481288
