Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-07T11:13:04,67666,2959,43500,30.9756,112.2707
,"Korea, Republic of",2020-03-07T10:13:22,7041,44,135,36.0,128.0
,Italy,2020-03-07T17:33:03,5883,233,589,43.0,12.0
,"Iran, Islamic Republic of",2020-03-07T17:43:05,5823,145,1669,32.0,53.0
Guangdong,China,2020-03-07T10:43:02,1352,7,1237,23.3417,113.4244
Henan,China,2020-03-07T11:23:10,1272,22,1244,33.882,113.614
Zhejiang,China,2020-03-07T09:03:05,1215,1,1154,29.1832,120.0934
Hunan,China,2020-03-07T09:03:05,1018,4,960,27.6104,111.7088
Anhui,China,2020-03-06T03:23:06,990,6,979,31.8257,117.2264
,France,2020-03-07T20:33:02,949,11,12,47.0,2.0
Jiangxi,China,2020-03-07T01:13:18,935,1,916,27.614,115.7221
,Germany,2020-03-07T17:43:05,799,0,18,51.0,9.0
Shandong,China,2020-03-07T13:03:05,758,6,627,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638
Jiangsu,China,2020-03-07T14:53:02,631,0,606,32.9711,119.455
Chongqing,China,2020-03-07T23:23:02,576,6,526,30.0572,107.874
Sichuan,China,2020-03-07T13:03:05,539,3,454,30.6171,102.7103
,Spain,2020-03-07T17:43:05,500,10,30,40.0,-4.0
Heilongjiang,China,2020-03-07T09:03:05,481,13,403,47.862,127.7615
,Japan,2020-03-07T17:43:05,461,6,76,36.0,138.0
Beijing,China,2020-03-07T01:03:05,426,8,303,40.1824,116.4142
Shanghai,China,2020-03-07T03:53:03,342,3,313,31.202,121.4491
Hebei,China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149
Fujian,China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874
,Switzerland,2020-03-07T17:43:05,268,1,3,46.8182,8.2275
Guangxi,China,2020-03-07T14:53:02,252,2,218,23.8298,108.7881
Shaanxi,China,2020-03-06T10:23:03,245,1,226,35.1917,108.8701
,Ukraine,2020-03-07T17:43:05,206,2,18,55.0,-3.0
,Netherlands,2020-03-07T17:43:05,188,1,0,52.1326,5.2913
Yunnan,China,2020-03-06T03:23:06,174,2,170,24.974,101.487
,Belgium,2020-03-07T17:53:03,169,0,1,50.8333,4.0
Hainan,China,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
,Sweden,2020-03-07T17:53:03,161,0,0,63.0,16.0
,Norway,2020-03-07T17:53:03,147,0,0,60.472,8.4689
Guizhou,China,2020-03-07T00:43:01,146,2,115,26.8154,106.8748
,Singapore,2020-03-07T17:53:03,138,0,78,1.2833,103.8333
Tianjin,China,2020-03-05T03:33:27,136,3,128,39.3054,117.323
Shanxi,China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Liaoning,China,2020-03-07T14:53:02,125,1,107,41.2956,122.6085
Gansu,China,2020-03-07T15:03:06,120,2,87,36.0611,103.8343
Hong Kong,Hong Kong,2020-03-07T10:13:22,108,2,51,22.3,114.2
